masked_fivegram,training_document_frequency,training_document_pct,countries_present
his children to school this,1263,0.095923,4
she wants to grow her,1263,0.095923,28
their standard of living in,1263,0.095923,9
is often described as very,1262,0.095847,5
with this loan name expects,1262,0.095847,8
house of her own name,1261,0.095771,5
living standard in the future,1261,0.095771,7
her meet the increasing demand,1260,0.095695,8
provide for his family name,1260,0.095695,21
of the profits will be,1259,0.095619,9
to be able to provide,1259,0.095619,31
with six children she works,1259,0.095619,5
would like to increase her,1259,0.095619,29
her business and she is,1258,0.095543,27
in the morning and closes,1258,0.095543,6
is sure that she will,1258,0.095543,7
hopes to expand her business,1257,0.095468,33
she believes that education is,1256,0.095392,8
to buy greater variety of,1256,0.095392,10
field partner to buy more,1255,0.095316,5
loan to pay for his,1255,0.095316,18
name appears in the photo,1255,0.095316,9
order to buy additional stocks,1255,0.095316,3
she is group leader often,1255,0.095316,3
be able to achieve this,1254,0.09524,11
of her children is in,1254,0.09524,22
the help of the profits,1254,0.09524,5
is mother of two children,1253,0.095164,31
the main income for her,1253,0.095164,4
amt children she is group,1252,0.095088,3
amt married and has amt,1252,0.095088,21
purchase high quality seeds and,1252,0.095088,7
confident that she will be,1251,0.095012,16
fulfilling the needs of the,1251,0.095012,4
is borrowing amt org from,1251,0.095012,4
be able to afford to,1250,0.094936,13
be able to repay the,1250,0.094936,16
for five years now in,1250,0.094936,5
income of up to amt,1250,0.094936,4
she dreams of expanding her,1250,0.094936,26
to use on her farm,1250,0.094936,8
for her family and contribute,1249,0.09486,4
be able support her family,1248,0.094784,3
her to grow her customer,1248,0.094784,7
she wants to take out,1248,0.094784,15
enables her to grow her,1247,0.094708,4
with four children all of,1247,0.094708,21
able to save more money,1246,0.094632,14
and has seven children she,1246,0.094632,22
business in order to ensure,1246,0.094632,13
five years now in the,1246,0.094632,4
provide basic needs for her,1246,0.094632,10
the group she is amt,1246,0.094632,9
two children who are both,1246,0.094632,27
applied for kiva loan from,1245,0.094556,9
business because it helps her,1245,0.094556,7
five children four of whom,1245,0.094556,20
from the loan in the,1245,0.094556,6
her business name dreams that,1245,0.094556,4
to improve the living conditions,1245,0.094556,27
this will translate into more,1244,0.09448,3
able to afford to send,1243,0.094404,6
future for her loved ones,1243,0.094404,5
of charcoal to sell she,1243,0.094404,9
of four children she is,1243,0.094404,27
this group is made up,1243,0.094404,7
and has amt children name,1242,0.094328,20
her business and to save,1242,0.094328,11
is asking for loan in,1242,0.094328,23
lives with her family she,1242,0.094328,24
name successfully repaid her previous,1242,0.094328,6
operates retail business where he,1242,0.094328,7
she been in this business,1242,0.094328,18
and lives with his parents,1241,0.094252,22
has been farming rice for,1241,0.094252,7
her hand raised she is,1241,0.094252,7
loan that will be used,1241,0.094252,18
name has requested kiva loan,1241,0.094252,10
seeds to boost the quality,1241,0.094252,3
them up and then sells,1241,0.094252,7
up and then sells them,1241,0.094252,7
factors that encouraged name to,1240,0.094176,4
has one child in school,1240,0.094176,13
married woman living in loc,1240,0.094176,12
plans to invest in the,1240,0.094176,9
she is very kind and,1240,0.094176,7
amt year old mother who,1239,0.0941,18
farming inputs such as fertilizers,1239,0.0941,5
her third loan with org,1238,0.094025,15
in order to ensure she,1238,0.094025,6
married and blessed with one,1238,0.094025,11
years old her husband is,1238,0.094025,16
encouraged name to start her,1237,0.093949,4
mobile devices anytime for free,1237,0.093949,4
beverages to sell in her,1236,0.093873,7
children she is widowed and,1236,0.093873,7
life for his family he,1236,0.093873,19
plans to use to improve,1236,0.093873,6
the district of loc in,1235,0.093797,10
which she has done for,1235,0.093797,16
with his family in loc,1235,0.093797,15
children to have bright future,1234,0.093721,7
married and is blessed with,1234,0.093721,11
on the right of the,1234,0.093721,9
year old married man with,1234,0.093721,30
asking for new loan to,1233,0.093645,16
he is applying for loan,1233,0.093645,28
loan to purchase additional stock,1233,0.093645,13
pay the school fees for,1233,0.093645,24
from the district of loc,1232,0.093569,4
that encouraged name to start,1232,0.093569,4
the past few years name,1232,0.093569,11
family living standard in the,1231,0.093493,5
the lenders for this opportunity,1231,0.093493,6
will also help him earn,1231,0.093493,5
with four children she earns,1230,0.093417,4
for better life and good,1229,0.093341,3
and contribute to her community,1228,0.093265,5
ready to wear items to,1228,0.093265,3
their mobile devices anytime for,1228,0.093265,4
who lives in the loc,1228,0.093265,20
will use her portion of,1228,0.093265,17
be able to pay the,1227,0.093189,20
better living conditions to her,1227,0.093189,11
increase her income by buying,1227,0.093189,10
of three school going children,1227,0.093189,11
old he is married with,1227,0.093189,25
second loan by volunteering amt,1227,0.093189,5
she will therefore use the,1227,0.093189,3
business to contribute to the,1226,0.093113,11
expand her business with the,1226,0.093113,32
family with the basic necessities,1226,0.093113,6
five children she runs general,1226,0.093113,3
needs this loan to buy,1226,0.093113,18
so she has applied for,1226,0.093113,20
will help her to expand,1226,0.093113,29
earn more income to continue,1225,0.093037,3
goal is to be able,1225,0.093037,20
her children is in school,1225,0.093037,16
stable income for her family,1224,0.092961,9
her family in village near,1223,0.092885,3
is confident that she can,1223,0.092885,15
been blessed with amt children,1222,0.092809,8
grow his farming business name,1222,0.092809,5
order to ensure she meets,1222,0.092809,3
the further development of her,1222,0.092809,4
age of amt years she,1221,0.092733,10
amt years and amt years,1221,0.092733,12
harvest and increased profits name,1221,0.092733,3
has been engaged in the,1221,0.092733,18
he is married with amt,1221,0.092733,24
he is requesting loan of,1221,0.092733,17
old and married woman she,1221,0.092733,10
old with two children she,1221,0.092733,14
business for the last amt,1220,0.092657,21
income he will use the,1220,0.092657,12
org to purchase more sacks,1220,0.092657,3
and her family are thankful,1219,0.092581,4
has four children she has,1219,0.092581,22
to be able support her,1219,0.092581,4
to buy more groceries to,1219,0.092581,13
is young amt year old,1218,0.092506,20
loan of amt org which,1218,0.092506,13
rural village in the loc,1218,0.092506,3
for her family but also,1217,0.09243,12
her family well being name,1217,0.09243,16
money to start the business,1217,0.09243,4
the end of the season,1217,0.09243,13
child in school she works,1216,0.092354,4
in two bedroom house with,1216,0.092354,4
profit she earns to reinvest,1216,0.092354,5
she is member of org,1216,0.092354,8
three children she is in,1216,0.092354,16
children aged between amt and,1215,0.092278,19
is grateful to you in,1215,0.092278,3
start up capital from her,1215,0.092278,5
this will not only increase,1215,0.092278,7
to add more stock to,1215,0.092278,12
use the profits he earns,1215,0.092278,10
and is representing his group,1214,0.092202,3
she plans to expand her,1214,0.092202,31
that name will be able,1214,0.092202,6
to repay the loan on,1214,0.092202,16
based on the results of,1213,0.092126,3
but he does not have,1213,0.092126,22
expand her business by purchasing,1213,0.092126,29
of amt to buy more,1213,0.092126,11
provide for the needs of,1212,0.09205,25
with two children name runs,1212,0.09205,6
has been member of org,1211,0.091974,8
retail business where he sells,1211,0.091974,10
school and amt of them,1211,0.091974,4
she has had more profits,1211,0.091974,5
the needs of the family,1211,0.091974,23
that she can improve her,1210,0.091898,30
to school in the future,1210,0.091898,11
and is amt years old,1209,0.091822,30
been into this business for,1209,0.091822,7
earns monthly income of amt,1209,0.091822,5
for the support of the,1209,0.091822,14
good job in the future,1209,0.091822,7
requesting kiva loan to purchase,1209,0.091822,12
with the basic necessities of,1209,0.091822,3
this loan from org loc,1208,0.091746,6
woman with eight children she,1208,0.091746,7
continues to grow every day,1207,0.09167,3
family and contributing to the,1207,0.09167,4
and mother of five children,1206,0.091594,33
at the moment she has,1206,0.091594,18
inputs such as seeds fertilizer,1206,0.091594,10
loan will help improve her,1206,0.091594,17
means that name will be,1206,0.091594,3
to start her business selling,1206,0.091594,8
two times in the past,1206,0.091594,3
who has been farming for,1206,0.091594,11
amt year old businesswoman from,1205,0.091518,7
business continues to grow every,1205,0.091518,3
her previous loan which enabled,1205,0.091518,12
husband with the family expenses,1205,0.091518,17
of her business name has,1205,0.091518,12
org to purchase materials for,1205,0.091518,8
to boost her business and,1205,0.091518,21
to increase her sales she,1205,0.091518,27
who lives in two bedroom,1205,0.091518,4
been doing this work for,1204,0.091442,21
in small village in the,1204,0.091442,12
name would like loan of,1204,0.091442,5
the father of three children,1204,0.091442,28
to kiva and field partner,1204,0.091442,4
wants to develop her business,1204,0.091442,21
and loves cultivating her farm,1203,0.091366,3
as the main income for,1203,0.091366,5
she wants to develop her,1203,0.091366,23
will share this loan with,1203,0.091366,5
with org loc kiva field,1203,0.091366,3
and earns additional income from,1202,0.09129,7
of her children are presently,1202,0.09129,4
she is mother of two,1202,0.09129,28
to support her husband in,1202,0.09129,27
amt she has applied for,1201,0.091214,4
further build her business she,1201,0.091214,3
she would also like to,1201,0.091214,31
all the lenders for this,1200,0.091138,6
has been able to save,1200,0.091138,14
loc she is single mother,1200,0.091138,14
where she lives with her,1200,0.091138,22
are locals she will use,1199,0.091063,4
customers are locals she will,1199,0.091063,4
and thanks you in advance,1198,0.090987,7
at the moment she is,1198,0.090987,21
build better house for his,1198,0.090987,4
build house in the future,1198,0.090987,16
portion of the profits will,1198,0.090987,6
to repay the loan promptly,1198,0.090987,5
with the help of his,1198,0.090987,24
resident of the loc district,1197,0.090911,3
share of the loan to,1197,0.090911,13
she hopes that with the,1197,0.090911,15
she plans to repay her,1197,0.090911,3
with two children she earns,1197,0.090911,3
and her goal for the,1196,0.090835,3
from the town of loc,1196,0.090835,8
loc loc she has been,1196,0.090835,13
she is mother of amt,1196,0.090835,27
gathered much experience and is,1195,0.090759,3
order to generate greater profits,1195,0.090759,3
she is seeking amt org,1195,0.090759,6
two children she is in,1195,0.090759,15
the living conditions of her,1194,0.090683,27
to buy another dairy cow,1194,0.090683,7
and create better life for,1193,0.090607,8
her business because it provides,1193,0.090607,5
her standard of living and,1193,0.090607,25
provide for her family needs,1193,0.090607,29
she has been raising livestock,1193,0.090607,10
the other members of the,1193,0.090607,19
to use to improve her,1193,0.090607,11
his family standard of living,1192,0.090531,24
loc loc he is amt,1192,0.090531,7
man he was born in,1192,0.090531,3
provide food for her family,1192,0.090531,19
four of whom are in,1191,0.090455,17
this loan to pay for,1191,0.090455,29
to help improve her kiosk,1191,0.090455,4
enhance her farm productivity and,1190,0.090379,4
for his family he has,1190,0.090379,23
in this business for many,1190,0.090379,19
parent of five children name,1190,0.090379,3
she has had no problems,1190,0.090379,5
able to improve the quality,1189,0.090303,8
fish to sell to her,1189,0.090303,16
is the sole provider for,1189,0.090303,15
mother of amt school going,1189,0.090303,12
of loc loc her husband,1189,0.090303,5
with six children she runs,1189,0.090303,6
charging their mobile devices anytime,1188,0.090227,4
for loan to buy amt,1188,0.090227,13
is amt year old living,1188,0.090227,13
it is made up of,1188,0.090227,6
providing better living conditions to,1188,0.090227,3
be able to pay for,1186,0.090075,34
her kiosk she plans to,1186,0.090075,3
she earns to reinvest in,1186,0.090075,10
that will allow her to,1186,0.090075,26
three children her husband is,1186,0.090075,23
to satisfy the demand for,1186,0.090075,8
will help her to improve,1186,0.090075,25
business and take care of,1185,0.089999,17
kiosk she plans to use,1185,0.089999,5
old with three children she,1185,0.089999,13
business they live in their,1184,0.089923,3
five children between the ages,1184,0.089923,15
loan which he will use,1184,0.089923,25
the group in this village,1184,0.089923,3
earns additional income from farming,1183,0.089847,3
enabled her to purchase additional,1183,0.089847,3
grateful to kiva lenders for,1183,0.089847,17
her start up capital from,1183,0.089847,4
she plans to take advantage,1183,0.089847,4
the small income of her,1183,0.089847,3
allow her to improve her,1182,0.089771,27
is in common law marriage,1182,0.089771,6
one child who is still,1182,0.089771,16
she is mother of three,1182,0.089771,28
to reach more customers and,1182,0.089771,7
and has three children two,1181,0.089695,23
both of whom are in,1181,0.089695,24
for seven years in the,1181,0.089695,7
loans were repaid successfully she,1181,0.089695,3
loc district he is amt,1181,0.089695,7
to buy piece of land,1181,0.089695,19
her business to contribute to,1180,0.089619,9
thank all the lenders for,1180,0.089619,9
year old woman from loc,1180,0.089619,17
years old and from loc,1180,0.089619,14
attend school she lives in,1179,0.089544,19
because she wanted to get,1179,0.089544,6
feed his family which has,1179,0.089544,4
improve her kiosk she plans,1179,0.089544,3
in her food stall she,1179,0.089544,12
and as group leader she,1178,0.089468,3
his family live decent life,1178,0.089468,5
the needs of her children,1178,0.089468,23
an additional source of income,1177,0.089392,21
children are in school and,1177,0.089392,26
is name amt year old,1177,0.089392,21
old and single she has,1177,0.089392,21
use the money to buy,1177,0.089392,26
and build house of her,1176,0.089316,3
her family well being and,1176,0.089316,19
loan name is going to,1176,0.089316,10
hopes that she can grow,1175,0.08924,3
mother of four children who,1175,0.08924,32
name has always wanted to,1175,0.08924,15
profits to support her family,1175,0.08924,20
the rural area of loc,1175,0.08924,14
are amt and amt years,1174,0.089164,23
business she likes her business,1174,0.089164,4
five years she has been,1174,0.089164,25
she hopes that this loan,1174,0.089164,26
years old married with two,1174,0.089164,28
better future for her children,1173,0.089088,24
seeds and fertilizer she will,1173,0.089088,12
so that he can buy,1173,0.089088,27
with the small income of,1173,0.089088,3
years old from loc she,1173,0.089088,7
help her to expand her,1172,0.089012,29
is strong businesswoman who sells,1172,0.089012,3
children future and to buy,1171,0.088936,3
family which has improved his,1171,0.088936,4
he will use it to,1171,0.088936,22
seeds which is why she,1171,0.088936,4
so that she can improve,1171,0.088936,30
business for seven years in,1170,0.08886,5
children he describes himself to,1170,0.08886,4
consistently feed his family which,1170,0.08886,4
has requested loan to purchase,1170,0.08886,23
her children to get higher,1170,0.08886,5
his family living standards he,1170,0.08886,11
his family which has improved,1170,0.08886,4
in the local market and,1170,0.08886,23
lenders for their financial support,1170,0.08886,10
name is name she is,1170,0.08886,8
she wanted to get the,1170,0.08886,3
she would like to take,1170,0.08886,22
use the profits from the,1170,0.08886,18
loan she would like to,1169,0.088784,25
other farmers in the region,1169,0.088784,3
other members of the group,1169,0.088784,17
three children she lives in,1169,0.088784,25
to support her business which,1169,0.088784,5
borrowed two times in the,1168,0.088708,3
help improve her kiosk she,1168,0.088708,4
is very grateful to the,1168,0.088708,16
has borrowed two times in,1167,0.088632,3
man he is married and,1167,0.088632,20
the future she wishes to,1167,0.088632,19
got her start up capital,1166,0.088556,4
the loan will enable her,1166,0.088556,24
with amt children she is,1166,0.088556,29
has business of buying and,1165,0.08848,10
he plans on using the,1165,0.08848,10
this business for over amt,1165,0.08848,26
able to ensure that his,1164,0.088404,4
for additional capital to buy,1164,0.088404,3
her business is going well,1164,0.088404,21
her to grow more vegetables,1164,0.088404,3
needed for her business she,1164,0.088404,7
she earns additional income from,1164,0.088404,10
the financial support that will,1164,0.088404,6
with two children one of,1164,0.088404,21
expand her business she is,1163,0.088328,32
has three children all of,1163,0.088328,22
name will use the profits,1163,0.088328,20
she hopes for your support,1163,0.088328,10
single and lives with her,1163,0.088328,25
and monthly income of amt,1162,0.088252,4
asking for loan from org,1162,0.088252,14
her children future and to,1162,0.088252,7
her children still in school,1162,0.088252,5
married woman she is amt,1162,0.088252,15
amt year old woman and,1161,0.088176,32
she is group leader and,1161,0.088176,5
with access to electricity name,1161,0.088176,3
and has five children who,1160,0.088101,22
are in school and live,1160,0.088101,5
to buy vegetables to sell,1160,0.088101,11
bank she will use the,1159,0.088025,4
her family name is seeking,1159,0.088025,14
provide better future for her,1159,0.088025,17
saving enough to provide secure,1159,0.088025,4
the conditions of her house,1158,0.087949,4
will be able to reduce,1158,0.087949,14
amt clean cookstove is biomass,1157,0.087873,3
for her family basic needs,1157,0.087873,23
has been into this business,1157,0.087873,7
has decided to apply for,1157,0.087873,16
to meet the demand of,1157,0.087873,29
demands she plans to use,1156,0.087797,12
is requesting kiva loan from,1156,0.087797,10
locals she will use the,1156,0.087797,3
requesting loan in order to,1156,0.087797,30
sell in her store her,1156,0.087797,9
the group leader of her,1156,0.087797,5
the loan to purchase farm,1156,0.087797,7
the morning and closes at,1156,0.087797,3
to build her own house,1156,0.087797,26
child she runs general store,1155,0.087721,3
six years now and has,1155,0.087721,7
supplies she has been in,1155,0.087721,8
the condition of her house,1155,0.087721,11
grateful to the lenders for,1154,0.087645,16
photo is name she is,1154,0.087645,9
she is able to have,1154,0.087645,13
the demand of her customers,1154,0.087645,28
this investment will help her,1154,0.087645,14
to start the business she,1154,0.087645,14
group leader of her group,1153,0.087569,4
hopes this will increase his,1153,0.087569,9
hopes you will consider her,1153,0.087569,3
of amt years and amt,1153,0.087569,6
pay for farm inputs and,1153,0.087569,4
she has requested this loan,1153,0.087569,28
the future are to be,1153,0.087569,6
to increase her stock and,1153,0.087569,28
were repaid successfully she will,1153,0.087569,3
devices anytime for free the,1152,0.087493,4
in the loc of loc,1152,0.087493,3
is married and is the,1152,0.087493,28
is mother to amt children,1152,0.087493,19
requesting the loan to buy,1152,0.087493,18
the anticipated profits to purchase,1152,0.087493,5
work and her husband help,1152,0.087493,3
and closes at amt amt,1151,0.087417,6
is the lack of funds,1151,0.087417,8
lenders for their support and,1151,0.087417,18
standard of living as well,1151,0.087417,11
the ages of amt years,1151,0.087417,6
he does not have enough,1150,0.087341,23
his children school fees and,1150,0.087341,19
in order to be able,1150,0.087341,31
loan to buy an additional,1150,0.087341,17
past five years she has,1150,0.087341,24
traditional hut with access to,1150,0.087341,3
anytime for free the org,1149,0.087265,4
the future are to improve,1149,0.087265,9
four children one of whom,1148,0.087189,23
profits from her expanded business,1148,0.087189,4
she is happily married and,1148,0.087189,10
some years ago she started,1148,0.087189,4
thanks and appreciation to org,1148,0.087189,4
this loan amount to purchase,1148,0.087189,3
to attract more customers and,1148,0.087189,27
for this loan to purchase,1147,0.087113,22
is still in school she,1147,0.087113,20
kiva and its lenders and,1147,0.087113,4
she is married woman with,1147,0.087113,24
business has made name become,1146,0.087037,4
has four children three of,1146,0.087037,24
in traditional hut with access,1146,0.087037,3
is going to use her,1146,0.087037,12
name is amt years of,1146,0.087037,23
of land on which she,1146,0.087037,12
buy more groceries to sell,1145,0.086961,13
for over amt years and,1145,0.086961,27
go to school she is,1145,0.086961,23
has five children who are,1145,0.086961,18
her dream is to educate,1145,0.086961,8
and is the father of,1144,0.086885,23
order to be able to,1144,0.086885,31
quality of her harvest she,1144,0.086885,3
she has secondary education and,1144,0.086885,3
she hopes that her business,1144,0.086885,17
bills and provide basic needs,1143,0.086809,4
family live decent life he,1143,0.086809,5
her family living standard in,1143,0.086809,5
increased income name will be,1142,0.086733,6
name has requested this loan,1142,0.086733,18
to buy head of cattle,1142,0.086733,4
and millet to sell in,1141,0.086657,3
business for several years now,1141,0.086657,10
in the business for amt,1141,0.086657,23
for her children in the,1140,0.086582,21
future for her family name,1140,0.086582,14
name thanks you in advance,1140,0.086582,6
for the past year name,1139,0.086506,13
in loc loc she has,1139,0.086506,22
amt year old living with,1138,0.08643,10
business is doing well and,1138,0.08643,25
enable her to increase her,1138,0.08643,30
in order to pay for,1138,0.08643,32
org to buy spare parts,1138,0.08643,5
earns net income of amt,1137,0.086354,3
from the loc district of,1137,0.086354,6
plans to send his children,1137,0.086354,4
with the loan she plans,1137,0.086354,17
her goal is to continue,1136,0.086278,16
month on all of his,1136,0.086278,3
name envisions future where her,1136,0.086278,3
now she has requested loan,1136,0.086278,12
of living as well as,1136,0.086278,13
thereby improving their standard of,1136,0.086278,4
amt org she intends to,1135,0.086202,5
in the sense that he,1135,0.086202,4
income of org amt per,1135,0.086202,3
man who lives in multi,1135,0.086202,4
name seeks loan to invest,1135,0.086202,4
three children who are currently,1135,0.086202,13
with two children with one,1135,0.086202,6
would like to take out,1135,0.086202,20
he has been running this,1134,0.086126,25
his children to school the,1134,0.086126,9
this is his third loan,1134,0.086126,16
to increase her crop production,1134,0.086126,8
week as camfed learner guide,1134,0.086126,5
with the loan name will,1134,0.086126,18
all lenders around the world,1133,0.08605,3
buy and sell clothing business,1133,0.08605,3
single mother with amt children,1133,0.08605,19
very kind and responsible woman,1133,0.08605,4
client and has positive credit,1132,0.085974,3
family and contribute to the,1132,0.085974,6
her family thanks to her,1132,0.085974,17
to give her family good,1132,0.085974,10
amt is happily married and,1131,0.085898,5
in the business of selling,1131,0.085898,28
small plot of land in,1131,0.085898,5
the sense that he has,1131,0.085898,3
name is resident of the,1130,0.085822,7
she is married mother of,1130,0.085822,28
ages of amt years and,1129,0.085746,6
family members including amt children,1129,0.085746,4
loc and the kiva community,1129,0.085746,3
on all of his fuels,1129,0.085746,3
to buy farm inputs to,1129,0.085746,8
is thankful for your support,1128,0.08567,16
she started her business to,1128,0.08567,15
from the business will be,1127,0.085594,11
has requested loan of org,1127,0.085594,8
in the loc region she,1127,0.085594,8
she has been working hard,1127,0.085594,16
with six children name works,1127,0.085594,4
and she earns good income,1126,0.085518,9
and the youngest is amt,1126,0.085518,17
business name is member of,1126,0.085518,3
help his family save the,1126,0.085518,3
is name he is amt,1126,0.085518,9
that name can continue to,1126,0.085518,3
to buy more clothes to,1126,0.085518,24
to have light during the,1126,0.085518,5
will allow her to have,1126,0.085518,21
in school she has food,1125,0.085442,3
will enable her to boost,1125,0.085442,11
fertilizers and other essential farm,1124,0.085366,3
has been able to send,1124,0.085366,15
hopes to improve the condition,1124,0.085366,3
will be able to sell,1124,0.085366,24
demands her love for her,1123,0.08529,3
amt in the morning and,1122,0.085214,8
business for amt years selling,1122,0.085214,13
her business for amt years,1122,0.085214,26
business as well as support,1121,0.085139,9
of saving enough to provide,1121,0.085139,4
photo is amt years old,1121,0.085139,18
all the kiva lenders for,1120,0.085063,13
has been operating her business,1120,0.085063,24
it will help name to,1120,0.085063,5
started this business in amt,1120,0.085063,17
years she wants to expand,1120,0.085063,13
and her family are very,1119,0.084987,8
name would like to thank,1119,0.084987,22
she is amt married and,1119,0.084987,20
she is excited to have,1119,0.084987,4
year old woman who has,1119,0.084987,26
her life and that of,1118,0.084911,16
old married with two children,1118,0.084911,25
one cookstove to help his,1118,0.084911,3
request loan to buy solar,1118,0.084911,5
children and they live in,1117,0.084835,15
in her business she will,1117,0.084835,18
increasing demands of her customers,1117,0.084835,12
the past two years she,1117,0.084835,30
which is why she is,1117,0.084835,23
earns an income from raising,1116,0.084759,3
for five years and also,1116,0.084759,7
help her pay for her,1116,0.084759,22
family he is grateful to,1115,0.084683,10
has two children both of,1115,0.084683,20
likes to think of himself,1115,0.084683,3
the school fees for her,1115,0.084683,24
think of himself as very,1115,0.084683,3
to think of himself as,1115,0.084683,3
with four other family members,1115,0.084683,8
fees for his children he,1114,0.084607,15
from the city of loc,1114,0.084607,13
intends to use this loan,1114,0.084607,21
this season to send his,1114,0.084607,3
is mixed farmer who has,1113,0.084531,3
this loan she wants to,1113,0.084531,27
and has been doing this,1112,0.084455,28
buy fruits and vegetables to,1112,0.084455,11
customers demands her love for,1112,0.084455,3
his family he is grateful,1112,0.084455,12
per week as camfed learner,1112,0.084455,5
to enable her to buy,1112,0.084455,19
year old name from the,1112,0.084455,4
has been actively involved in,1111,0.084379,10
has great experience in this,1111,0.084379,10
is currently attending school she,1111,0.084379,6
lenders for the previous loan,1111,0.084379,9
name hopes and dreams for,1111,0.084379,5
to provide better life for,1111,0.084379,29
will be able to make,1111,0.084379,26
amt years old two are,1110,0.084303,6
business name is looking forward,1110,0.084303,5
children to school she says,1110,0.084303,3
her customers demands her love,1110,0.084303,3
her profits to pay back,1110,0.084303,5
is married mother of three,1110,0.084303,27
loan to buy variety of,1110,0.084303,24
will enable her to increase,1110,0.084303,30
and at the same time,1109,0.084227,28
of her harvest she is,1109,0.084227,3
requested loan which she will,1109,0.084227,22
to feed her family since,1109,0.084227,3
future for herself and her,1108,0.084151,16
amt years old and he,1107,0.084075,31
children who attend school she,1107,0.084075,26
from the rural area of,1107,0.084075,8
she wants to take advantage,1107,0.084075,11
business for many years and,1106,0.083999,16
increase her income by selling,1106,0.083999,10
org loc and the kiva,1106,0.083999,3
says that his life has,1106,0.083999,4
that his life has improved,1106,0.083999,3
to meet the increasing demands,1106,0.083999,11
wants to purchase stock of,1106,0.083999,5
years old and one of,1106,0.083999,11
city of loc she is,1105,0.083923,19
old and lives with his,1105,0.083923,23
old she is single and,1105,0.083923,26
order to generate more income,1105,0.083923,19
wishes to expand her business,1105,0.083923,24
is resident of the loc,1104,0.083847,6
of two children who are,1104,0.083847,26
in the photo is the,1103,0.083771,19
kiosk that she started in,1103,0.083771,5
thanks to all lenders for,1103,0.083771,9
the past year name has,1103,0.083771,13
three children in school she,1103,0.083771,11
she hopes to expand her,1102,0.083695,33
will be able to start,1102,0.083695,19
with her previous loan she,1102,0.083695,19
children in the loc district,1101,0.08362,11
loan she is requesting she,1101,0.08362,11
find good job in the,1100,0.083544,3
is hopeful that this loan,1100,0.083544,11
of her children still in,1100,0.083544,3
of living by providing them,1100,0.083544,5
will use the anticipated profit,1100,0.083544,4
of income she needs to,1099,0.083468,4
on fuel and also to,1099,0.083468,4
the financial support from the,1099,0.083468,7
to buy more sacks of,1099,0.083468,14
two children with one child,1099,0.083468,3
woman who lives in amt,1099,0.083468,4
name is requesting another loan,1098,0.083392,21
of loc she has small,1098,0.083392,8
pigs for amt years and,1098,0.083392,6
she has been doing it,1098,0.083392,22
the increasing demands of her,1098,0.083392,12
will help her to increase,1098,0.083392,32
amt hectare plot of land,1097,0.083316,10
asked for loan through org,1097,0.083316,5
in the context of the,1097,0.083316,6
millet to sell in the,1097,0.083316,4
org amt cookstove please visit,1097,0.083316,4
the org amt cookstove please,1097,0.083316,4
with amt children between the,1097,0.083316,10
and also pay school fees,1096,0.08324,8
and org loc for their,1096,0.08324,3
family by facing life challenges,1096,0.08324,4
in the future she wishes,1096,0.08324,19
in the local market the,1096,0.08324,14
meets her customers demands her,1096,0.08324,3
single and has one child,1096,0.08324,23
will use her portion to,1096,0.08324,12
been running her business for,1095,0.083164,27
family she has four children,1095,0.083164,9
he operates retail business where,1095,0.083164,6
org to buy vegetables to,1095,0.083164,3
two children she is single,1095,0.083164,10
ago she started her business,1094,0.083088,13
has kiosk that she started,1094,0.083088,4
he says that his life,1094,0.083088,3
her standard of living as,1094,0.083088,9
name went to school until,1094,0.083088,3
grow her customer base through,1093,0.083012,3
like to ask for financial,1093,0.083012,3
name amt year old single,1093,0.083012,18
she has been selling for,1093,0.083012,13
she has kiosk that she,1093,0.083012,4
the picturesque town of loc,1093,0.083012,3
to the lenders for their,1093,0.083012,13
for her children her hopes,1092,0.082936,3
her business by buying more,1092,0.082936,28
her family she has four,1092,0.082936,10
the past ten years she,1092,0.082936,26
this will increase her sales,1092,0.082936,20
become one of the most,1091,0.08286,15
he hopes that in the,1091,0.08286,12
his family by facing life,1091,0.08286,3
loc she is blessed with,1091,0.08286,8
married parent of five children,1091,0.08286,3
support of the lenders to,1091,0.08286,5
the future for her family,1091,0.08286,8
to take advantage of the,1091,0.08286,22
be used to buy additional,1090,0.082784,10
five years name has been,1090,0.082784,18
for the financial support that,1090,0.082784,10
full of hope and energy,1090,0.082784,5
she has been granted loan,1090,0.082784,4
valuable factors that encouraged name,1090,0.082784,4
in the future he wants,1089,0.082708,21
is hardworking young man who,1089,0.082708,13
lives with her parents and,1089,0.082708,26
prosperous future for her family,1089,0.082708,9
she would like to request,1089,0.082708,16
the photo is amt years,1089,0.082708,18
to increase her savings and,1089,0.082708,13
at this time when the,1088,0.082632,4
create better life for her,1088,0.082632,8
name will use the loan,1088,0.082632,22
she hopes for your help,1088,0.082632,3
will be able to continue,1088,0.082632,24
expand her business and to,1087,0.082556,32
use her portion of the,1087,0.082556,15
will enable her to purchase,1087,0.082556,22
children three of her children,1086,0.08248,21
field partner org loc to,1086,0.08248,8
which will enable him to,1086,0.08248,26
and secure better future for,1085,0.082404,15
children with one child currently,1085,0.082404,3
experience in this business she,1085,0.082404,19
farming she has been able,1085,0.082404,5
is kindly requesting loan to,1085,0.082404,3
and appreciation to org and,1084,0.082328,4
in this way she will,1084,0.082328,23
the mother of seven children,1084,0.082328,28
with the money from the,1084,0.082328,13
of her children in school,1083,0.082252,12
and selling ready to wear,1082,0.082177,5
